biomarker_id	assessed_biomarker_entity_ID	assessed_biomarker_entity	biomarker	best_biomarker_role	specimen	specimen_ID	loinc_code	condition	condition_ID	evidence_source	evidence
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	prognostic	blood	UN:0000178	26881-3	prostate cancer (DOID:10283)	DOID:10283	PMID:10914713	"Univariate analysis of all patients demonstrated that an extent of disease (EOD) on bone scanning > or = 1, IL-6 > or = 7 pg/ml, PS > or = 1, PSA > 100 ng/ml, and ALP > 620 IU/liter were associated with a significantly lower survival rate than their respective counterparts. In multivariate analysis, however, the only two significant prognostic factors were EOD and IL-6. These results indicate that the serum IL-6 level is a significant prognostic factor for prostate cancer as well as EOD. "
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32259560	Serial measurement of circulating IL-6 levels may be important in identifying disease progression among COVID-19-infected patients. 
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32428990	" The decrease of IL-6 was closely related to treatment effectiveness, while the increase of IL-6 indicated disease exacerbation. Collectively, the dynamic change of IL-6 level can be used as a marker for disease monitoring in patients with severe COVID-19. "
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32677844	" Elevated levels of IL-6, D-dimer, CRP, LDH, and ferritin all had an independent increased risk for the clinical outcomes assessed (ICU admission, invasive ventilatory support and death), which were statistically significant. "
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32438331	" Clinical biomarkers for chronic inflammation, in particular Interleukin-6, predict the severity of COVID-19. "
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32475810	" C-reactive protein, serum amyloid A, interleukin-6, lactate dehydrogenase, neutrophil-to-lymphocyte ratio, D-dimer, cardiac troponin, and renal biomarkers showed significantly higher levels in patients with severe complications of COVID-19 infection compared to their non-severe counterparts. "
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32234467	" Interleukin-6 (IL-6) plays an important role in cytokine release syndrome. If it is possible to block the signal transduction pathway of IL-6, it is expected to become a new method for the treatment of severe COVID-19 patients. "
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32442528	 findings in this study include determining independent associations between biomarkers for inflammation (interleukin-6) and thrombosis (D-dimer) and mortality. 
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32161940	" lower lymphocyte counts, higher leukocyte counts and neutrophil-lymphocyte ratio (NLR), lower monocytes, eosinophils, and basophils elevated inflammatory cytokines. T cells significantly decreased, helper T (Th) cells and suppressor T cells were below normal levels naive Th cells increased and memory Th cells decreased. lower levels of regulatory T cells. "
A0001	UPKB:P05231	Interleukin-6 (IL6)	increased IL6 level	monitoring	blood	UN:0000178	26881-3	COVID-19 (DOID:0080600)	DOID:0080600	PMID:32425269	" The maximal level of IL-6, followed by CRP level, was highly predictive of the need for mechanical ventilation. This suggests the possibility of using IL-6 or CRP level to guide escalation of treatment in patients with COVID-19-related hyperinflammatory syndrome. "
