,original,mapped
0,Hereditary cancer-predisposing syndrome,cancer
1,"Colorectal cancer, susceptibility to",colorectal cancer
2,Carcinoma of colon,colon cancer
3,Gastric cancer,stomach cancer
4,Hepatocellular carcinoma,liver cancer
5,Colon adenocarcinoma,colon cancer
6,Colorectal cancer,colorectal cancer
7,"Breast cancer, susceptibility to",breast cancer
8,Breast carcinoma,breast cancer
9,Familial colorectal cancer,colorectal cancer
10,Familial cancer of breast,breast cancer
11,"Pancreatic cancer, susceptibility to, 3",pancreatic cancer
12,"Colorectal cancer, susceptibility to, 1",colorectal cancer
13,"Prostate cancer, hereditary, 12",prostate cancer
14,Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome,squamous cell carcinoma
15,Hurthle cell carcinoma of thyroid,thyroid gland cancer
16,"LUNG CANCER, SUSCEPTIBILITY TO",lung cancer
17,Hereditary nonpolyposis colon cancer,colon cancer
18,Mismatch repair cancer syndrome 2,cancer
19,Papillary renal cell carcinoma type 1,kidney cancer
20,Nonpapillary renal cell carcinoma,kidney cancer
21,Renal cell carcinoma with paraneoplastic erythrocytosis,kidney cancer
22,"Pancreatic cancer, susceptibility to, 1",pancreatic cancer
23,Pancreatic adenocarcinoma,pancreatic cancer
24,Breast and/or ovarian cancer,breast cancer
25,Carcinoma of pancreas,pancreatic cancer
26,Parathyroid carcinoma,parathyroid carcinoma
27,Chromophobe renal cell carcinoma,kidney cancer
28,"Lung cancer, protection against, in smokers",lung cancer
29,Breast adenocarcinoma,breast cancer
30,"Colorectal cancer, protection against",colorectal cancer
31,"Esophageal squamous cell carcinoma, somatic",esophageal cancer
32,"Breast cancer, early-onset",breast cancer
33,"Thyroid cancer, nonmedullary, 2",thyroid gland cancer
34,"Prostate cancer, hereditary, 2",prostate cancer
35,Endometrial carcinoma,endometrial cancer
36,Ovarian carcinoma,ovarian cancer
37,Colon cancer,colon cancer
38,"Colorectal cancer, hereditary nonpolyposis, type 7",colorectal cancer
39,Endometrial cancer,endometrial cancer
40,"Cancer of multiple types, susceptibility to",cancer
41,"Prostate cancer, susceptibility to",prostate cancer
42,"Breast and colorectal cancer, susceptibility to",breast cancer
43,Gastrointestinal carcinoma,stomach cancer
44,Adrenal cortex carcinoma,??
45,CHEK2-Related Cancer Susceptibility,breast cancer
46,Predisposition to cancer,cancer
47,Hereditary breast ovarian cancer syndrome,breast cancer
48,"Prostate cancer, somatic",prostate cancer
49,CHEK2-related cancer risk,breast cancer
50,Oligodontia-cancer predisposition syndrome,cancer
51,"THYROID CANCER, NONMEDULLARY, 5, SUSCEPTIBILITY TO",thyroid gland cancer
52,"Basal cell carcinoma, somatic",cancer
53,Ductal breast carcinoma,breast cancer
54,Squamous cell carcinoma of the head and neck,skin cancer
55,"THYROID CARCINOMA WITH THYROTOXICOSIS, SOMATIC",thyroid gland cancer
56,Lung carcinoma,lung cancer
57,"Colon cancer, susceptibility to",colon cancer
58,"Colorectal cancer, susceptibility to, 3",colorectal cancer
59,"Breast-ovarian cancer, familial, susceptibility to, 3",breast cancer
60,"Breast-ovarian cancer, familial, susceptibility to, 1",breast cancer
61,Lung adenocarcinoma,lung cancer
62,"Colorectal cancer with chromosomal instability, somatic",colorectal cancer
63,Clear cell carcinoma of kidney,kidney cancer
64,"Breast cancer, protection against",breast cancer
65,"Lung cancer, protection against",lung cancer
66,Non-small cell lung carcinoma,lung cancer
67,Prostate adenocarcinoma,prostate cancer
68,Gastric adenocarcinoma,stomach cancer
69,Small cell lung carcinoma,lung cancer
70,Squamous cell lung carcinoma,lung cancer
71,"Basal cell carcinoma, susceptibility to, 1",skin cancer
72,Prostate cancer/brain cancer susceptibility,prostate cancer
73,Carcinoma of esophagus,head and neck cancer
74,Colorectal / endometrial cancer,colorectal cancer
75,Mismatch repair cancer syndrome 3,cancer
76,Mismatch repair cancer syndrome 4,cancer
77,Pituitary carcinoma,cancer
78,"Breast-ovarian cancer, familial, susceptibility to, 2",breast cancer
79,"Pancreatic cancer, susceptibility to, 2",pancreatic cancer
80,Lip and oral cavity carcinoma,head and neck cancer
81,Melanoma-pancreatic cancer syndrome,skin cancer
82,"Androgen insensitivity, partial, with breast cancer",breast cancer
83,Prostate cancer susceptibility,prostate cancer
84,"Carcinoma, adrenocortical, androgen-secreting",cancer
85,Hereditary diffuse gastric adenocarcinoma,stomach cancer
86,Breast lobular carcinoma,breast cancer
87,"Gastric cancer, familial diffuse, and cleft lip with or without cleft palate",cancer
88,Familial medullary thyroid carcinoma,thyroid gland cancer
89,Ovarian serous cystadenocarcinoma,ovarian cancer
90,Transitional cell carcinoma of the bladder,urinary bladder cancer
91,Squamous cell carcinoma of the skin,skin cancer
92,Choroid plexus carcinoma,pancreatic cancer
93,Gallbladder cancer,urinary bladder cancer
94,Cancer of cervix,cervix cancer
95,Ductal carcinoma in situ,oral cavity cancer
96,"Papillary renal cell carcinoma, sporadic",kidney cancer
97,Gallbladder carcinoma,lung cancer
98,Adenocarcinoma,kidney cancer
99,Familial ovarian cancer,ovarian cancer
100,Lung cancer,lung cancer
101,Thyroid gland undifferentiated (anaplastic) carcinoma,thyroid gland cancer
102,Nasopharyngeal carcinoma,esophageal cancer
103,Adenoid cystic carcinoma,head and neck cancer
104,"Adrenocortical carcinoma, pediatric",adrenal cortex carcinoma
105,"Adrenocortical carcinoma, hereditary",adrenal cortex carcinoma
106,"Colorectal cancer, hereditary nonpolyposis, type 6",colorectal cancer
107,"Breast cancer, invasive, susceptibility to",breast cancer
108,"Colon cancer, advanced",colon cancer
109,"Bladder cancer, transitional cell, somatic",urinary bladder cancer
110,Primary low grade serous adenocarcinoma of ovary,pancreatic cancer
111,"Prostate cancer, hereditary, 1",prostate cancer
112,"Epidermal nevus with urothelial cancer, somatic",prostate cancer
113,Urinary bladder carcinoma,urinary bladder cancer
114,Vulvar adenocarcinoma of mammary gland type,breast cancer
115,"Breast cancer, susceptibility to, in BRCA1 and BRCA2 carriers",breast cancer
116,"Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation",breast cancer
117,"OVARIAN CANCER, EPITHELIAL, SOMATIC",ovarian cancer
118,Ovarian adenocarcinoma,ovarian cancer
119,Renal cell carcinoma,kidney cancer
120,Carcinoma,cancer
121,Renal carcinoma,kidney cancer
122,Pediatric hepatocellular carcinoma,kidney cancer
