,Disease Name,DOID,UBERON,Exact Synonyms
0,angiosarcoma,0001816,,['hemangiosarcoma']
1,pterygium,0002116,,"[""surfer's eye""]"
2,disease of metabolism,0014667,,['metabolic disease']
3,shrimp allergy,0040001,,[]
4,aspirin allergy,0040002,,"['asa allergy', 'acetylsalicylic acid allergy']"
5,benzylpenicillin allergy,0040003,,"['benzyl penicillin allergy', 'penicillin g allergy']"
6,amoxicillin allergy,0040004,,[]
7,ceftriaxone allergy,0040005,,['rocephin allergy']
8,carbamazepine allergy,0040006,,"['tegretol allergy', 'carbamazepen allergy']"
9,abacavir allergy,0040007,,['abc allergy']
10,isoniazide allergy,0040008,,"['inh allergy', 'isonicotinylhydrazide allergy']"
11,lidocaine allergy,0040009,,"['lidoderm allergy', 'lignocaine allergy', 'xylocaine allergy']"
12,mepivacaine allergy,0040010,,"['carbocaine allergy', 'polocaine allergy']"
13,phenobarbital allergy,0040011,,"['luminal allergy', 'phenobarbitol allergy', 'phenobarbitone allergy']"
14,phenytoin allergy,0040012,,['dilantin allergy']
15,ranitidine allergy,0040013,,['zantac allergy']
16,corticosteroid allergy,0040014,,[]
17,sulfonamide allergy,0040015,,[]
18,sulfamethoxazole allergy,0040016,,"['smx allergy', 'smz allergy', 'sulphamethoxazole allergy']"
19,suprofen allergy,0040017,,['profenal allergy']
20,thiopental allergy,0040018,,"['penthiobarbital allergy', 'pentothiobarbital allergy']"
21,D-mannitol allergy,0040019,,['mannitol allergy']
22,cefotaxime allergy,0040020,,[]
23,cephalosporin allergy,0040021,,[]
24,amodiaquine allergy,0040022,,"['camoquin allergy', 'flavoquine allergy']"
25,cefaclor allergy,0040023,,"['ceclor allergy', 'cephaclor allergy']"
26,ceftazidime allergy,0040024,,"['fortaz allergy', 'tazicef allergy']"
27,cefuroxime allergy,0040025,,"['zinacef allergy', 'cephuroxime allergy']"
28,chlorhexidine allergy,0040026,,[]
29,cyclophosphamide allergy,0040027,,['cytophosphane allergy']
30,succinylcholine allergy,0040028,,"['dicholine succinate allergy', 'succinocholine allergy', 'sux allergy', 'suxamethonium allergy']"
31,trimethoprim allergy,0040029,,"['primsol allergy', 'tmp allergy', 'proloprim allergy']"
32,cefixime allergy,0040030,,[]
33,diclofenac allergy,0040031,,['voltaren allergy']
34,carbapenem allergy,0040032,,[]
35,piperacillin allergy,0040033,,[]
36,rocuronium allergy,0040034,,"['esmeron allergy', 'zemuron allergy']"
37,sulfasalazine allergy,0040035,,[]
38,tubocurarine allergy,0040036,,['dtc allergy']
39,aztreonam allergy,0040037,,"['azactam allergy', 'primbactam allergy']"
40,meropenem allergy,0040038,,['merrem allergy']
41,hexamethylene diisocyanate allergic asthma,0040040,,"['allergic asthma to hdi', 'allergic asthma to hmdi']"
42,isocyanates allergic asthma,0040041,,[]
