,biomarker_ID,main_Xref,assesed_biomarker_entity,biomarker_status,best_biomarker_type,specimen_type,loinc_code,condition_name,assessed_entity_type,evidence_source,notes,gene
0,A0001,UPKB:P05231,Interleukin-6 (IL6),increased IL6 level,prognostic,blood (UN:0000178),26881-3,prostate cancer (DOID:10283),protein,"Univariate analysis of all patients demonstrated that an extent of disease (EOD) on bone scanning > or = 1, IL-6 > or = 7 pg/ml, PS > or = 1, PSA > 100 ng/ml, and ALP > 620 IU/liter were associated with a significantly lower survival rate than their respective counterparts. In multivariate analysis, however, the only two significant prognostic factors were EOD and IL-6. These results indicate that the serum IL-6 level is a significant prognostic factor for prostate cancer as well as EOD. [PMID:10914713]",,IL6
1,A0002,PCCID:56841902,Procalcitonin (PCT),increased PCT level,monitoring,blood (UN:0000178),33959-8,lung cancer (DOID:1324),protein,"Our results showed that the laboratory tests of cancer patients had the following characteristics: low lymphocytes, increased IL-6, CRP, PCT, D dimer, and LDH. The increase of these inflammatory indexes indicates that the infected patients were in inflammatory state, which may be closely related to the inflammatory storm. [PMID:32369209] We found that proinflammatory and infection-related biomarkers, including TNF-alpha, IL-6, procalcitonin, and C-reactive protein, as well as organ damage indices (leucocytes, neutrophils, and lactate dehydrogenase), coagulation-related indicators (D-dimer, prothrombin time, and activated partial thromboplastin time), and NT-proBNP were significantly associated with worse severity of COVID-19 in patients with cancer. [PMID:32479790]",,PCT
2,A0016,UPKB:P0DJI8,Serum amyloid A protein (SAA1),increased SAA1 level,prognostic,blood (UN:0000178),48498-0,lung cancer (DOID:1324),protein,"Study detected increased SAA level in the serum of lung cancer patients and also identified that elevated SAA level may be a non-invasive biomarker useful for the prediction of lung cancer prognosis. A differential protein with m/z 11.6 kDa was detected and identified as an isoform of human serum amyloid A (SAA). It was significantly increased by 1822% in lung cancer patients when compared with the healthy controls, which gave an area under the receiver operator characteristic curve of 0.88. In addition, the protein was also significantly elevated by 77% in lung cancer patients with survival <5 years when compared with patients with survival >/=5 years. [PMID:20502455]",,SAA1
3,A0016,UPKB:P0DJI8,Serum amyloid A protein (SAA1),increased SAA1 level,monitoring,blood (UN:0000178),48498-0,pancreatic cancer (DOID:1793),protein,The level of SAA in plasma of pancreatic cancer patients correlated with clinical stage and was significantly higher than in normal volunteers. [PMID:16211233],,SAA1
4,A0016,UPKB:P0DJI8,Serum amyloid A protein (SAA1),increased SAA1 level,monitoring,blood (UN:0000178),48498-0,uterine cancer (DOID:363),gene,SAA gene expression levels were significantly higher in USPC when compared with NEC (mean copy number by RT-PCR=162 vs 2.21; P=0.0002). IHC revealed diffuse cytoplasmic SAA protein staining in USPC tissues. High intracellular levels of SAA were identified in primary USPC cell lines evaluated by flow cytometry and SAA was found to be actively secreted in vitro. [PMID:19536090],High level expression of SAA gene,SAA1
5,A0028,UPKB:P01375,Tumor necrosis factor alpha (TNF),increased TNF level,prognostic,blood (UN:0000178),3074-2,head and neck cancer (DOID:11934),protein,"When comparing biochemical indexes of COVID-19 between patients with and without cancer, we found that pro-inflammatory cytokines including TNF-alpha, IL-6, and IL-2R were higher in patients with cancer than in those without cancer. [PMID:32479790] Elevated levels of TNF-alpha were found in patients with head and neck squamous cell carcinoma (HNSCC). An upregulated TNF-alpha, in combination with CRP, was significantly related to shorter patient survival, independent of clinical stage. Findings indicate that TNF-alpha might be suitable as biomarkers in combination with tumor TNM staging for predicting survival and individualized treatment. [PMID:24481866]",,TNF
6,A0031,UPKB:Q9BYF1,Angiotensin-converting enzyme 2 (ACE2),increased ACE2 level,prognostic,lung (UN:0002048),,lung cancer (DOID:1324),gene,"Our study showed an increased rate of expression of ACE2 in an elderly male patient in the age group of 60-70 who has LAUD or LUSC. We also conducted a prognostic analysis of ACE2 in lung cancer, we found that ACE2 mRNA is highly expressed. High expression of ACE2 may lead to higher susceptibility of lung cancer patient towards COVID 19 and ACE2 can serve as the best potential biomarker for this disease compared to co-expressed genes. [PMID:32916258]",,ACE2
7,A0032,UPKB:Q14508,WAP four-disulfide core domain protein 2 (WFDC2),increased WFDC2 level,prognostic,blood (UN:0000178),55180-4,ovarian cancer (DOID:2394),protein,"Early diagnosis is the most important determinant of early survival for ovarian cancer, and increased levels of HE4, in combination with CA125, is used as a diagnostic marker for ovarian cancer. HE4 levels were found to be significantly higher in individuals with ovarian cancer. Combining both HE4 and CA125 yielded specificity for ovarian cancer of 100%. [PMID:21633297] Preliminary data show that HE4 may have more potential than cancer antigen 125 in discriminating benign from cancerous ovarian masses, and has the strongest correlation with endometrial cancer of all markers tested to date. Utilizing risk stratification, a panel of biomarkers including HE4 may ultimately be useful for detecting ovarian and endometrial cancer at an early stage in patients at high risk. [PMID:19732003]",Measured in serum (UN:0001977) as well|Synonym: Human epididymis protein 4,WFDC2
8,A0032,UPKB:Q14508,WAP four-disulfide core domain protein 2 (WFDC2),increased WFDC2 level,diagnostic,blood (UN:0000178),55180-4,breast cancer (DOID:1612),protein,"There was a significant difference in the median serum levels of HE4 in breast cancer patients, ovarian cancer patients and healthy volunteers (14.63, 16.47 and 11.52 pmol/l, respectively; P=0.013). No significant differences between the breast cancer and ovarian cancer patient groups was observed, the median serum levels of HE4 in these groups were significantly higher than those in the healthy volunteer group (P=0.006 and P=0.017, respectively).The cutoff value for the prediction of breast cancer was determined at >13.24 pmol/l for HE4 with a sensitivity of 61.11%, specificity of 68.75%, positive predictive value of 81.48%, negative predictive value of 44.0% and accuracy of 63.46% [AUC, 0.740 (95% CI, 0.604–0.875), P=0.006] A significant elevation of serum HE4 levels in patients with breast cancer compared with that in healthy controls was identified. HE4 may serve as a novel biomarker for the diagnosis of breast cancer. [PMID:27446579]",,WFDC2
9,A0033,UPKB:P08727,Cytokeratin-19 fragment (KRT19),increased KRT19 level,prognostic,blood (UN:0000178),,lung cancer (DOID:1324),protein,"Tumor marker serum levels were related to histological type and tumor extension, with ProGRP being the most sensitive marker in SCLC, CEA in adenocarcinomas and CYFRA 21-1 in squamous tumors. The most sensitive combinations of tumor markers were ProGRP and NSE in SCLC (88%), and CEA plus CYFRA in NSCLC (82%). In summary, ProGRP is the tumor marker of choice in SCLC and NSE is a complementary tumor marker in this histological type. [PMID:16033098] This is the first report with such a substantial evaluation of cancer biomarkers on a large patient population of COVID-19. Our data demonstrate that levels of serum HE4, CYFRA21-1, CEA, CA125, CA153, SCC, and NSE are positively associated with CRP, a crucial factor in correlation with the severity of the disease. We concluded that elevations of serum cancer biomarkers positively correlated with the pathological progressions of COVID-19, demonstrating diffuse and acute pathophysiological injuries in COVID-19. [PMID:32347972]",Measured in serum (UN:0001977) as well.,KRT19
10,A0033,UPKB:P08727,Cytokeratin-19 fragment (KRT19),increased KRT19 level,prognostic,blood (UN:0000178),,lung cancer (DOID:1324),protein,"Cyfra 21-1 levels were significantly higher in advanced NSCLC than in early-stage disease. All 29 patients with serum concentrations > 32 ng/mL had stage IIIB-IV and only one of 14 patients with stage I-II disease had Cyfra 21-1 level > 18 ng/mL. In the multivariate analysis of survival, Cyfra 21-1 was an independent prognostic factor along with performance status and disease stage in NSCLC. Cyfra 21-1 is a sensitive and specific tumor marker of NSCLC, especially of squamous cell subtype. It also reflects the extent of the disease and has an independent prognostic role along with performance status and disease stage in NSCLC. Cyfra 21-1 was an independent prognostic factor along with performance status and disease stage in NSCLC. [PMID:7541742]",Non-small cell lung cancer (NSCLC) lung non-small cell carcinoma (DOID:3908),KRT19
