,X,biomarker_ID,main_Xref,assessed_biomarker_entity,biomarker_status,best_biomarker_type,specimen_type,loinc_code,condition_name,assessed_entity_type,evidence_source,notes,system,DOID,Names,rsID
0,0,,dbSNP:rs812481,rs812481 mutation in Leucine-rich repeat protein LRIG1 (LRIG1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LRIG1,UPKB:Q5XWD3|GRCh38 ,,9256,Leucine-rich repeat protein LRIG1,rs812481
1,1,,dbSNP:rs73208120,"rs73208120 mutation in Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS) (NOS1) ",presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NOS1,UPKB:P29475|GRCh38 ,,9256,"Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS)",rs73208120
2,2,,dbSNP:rs11190164,rs11190164 mutation in  (NKX2-3 - SLC25A28) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NKX2-3 - SLC25A28,GRCh38,,9256,,rs11190164
3,3,,dbSNP:rs3184504,rs3184504 mutation in Ataxin-2 (ATXN2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ATXN2,UPKB:F8VQP2|GRCh38 ,,9256,Ataxin-2,rs3184504
4,4,,dbSNP:rs3184504,rs3184504 mutation in SH2B adapter protein 3 ( SH2B3) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= SH2B3,UPKB:F5GYM4|GRCh38 ,,9256,SH2B adapter protein 3,rs3184504
5,5,,dbSNP:rs4946260,"rs4946260 mutation in Discoidin, CUB and LCCL domain-containing protein 1 (DCBLD1) ",presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=DCBLD1,UPKB:Q8N8Z6|GRCh38 ,,9256,"Discoidin, CUB and LCCL domain-containing protein 1",rs4946260
6,6,,dbSNP:rs812481,rs812481 mutation in Leucine-rich repeat protein LRIG1 (LRIG1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LRIG1,UPKB:Q5XWD3|GRCh38 ,,9256,Leucine-rich repeat protein LRIG1,rs812481
7,7,,dbSNP:rs11190164,rs11190164 mutation in  (NKX2-3 - SLC25A28) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NKX2-3 - SLC25A28,GRCh38,,9256,,rs11190164
8,8,,dbSNP:rs3184504,rs3184504 mutation in Ataxin-2 (ATXN2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ATXN2,UPKB:F8VQP2|GRCh38 ,,9256,Ataxin-2,rs3184504
9,9,,dbSNP:rs3184504,rs3184504 mutation in SH2B adapter protein 3 ( SH2B3) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= SH2B3,UPKB:F5GYM4|GRCh38 ,,9256,SH2B adapter protein 3,rs3184504
10,10,,dbSNP:rs73208120,"rs73208120 mutation in Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS) (NOS1) ",presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NOS1,UPKB:P29475|GRCh38 ,,9256,"Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS)",rs73208120
11,11,,dbSNP:rs6066825,"rs6066825 mutation in Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (PREX1) ",presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=PREX1,UPKB:A0A087WY11|GRCh38 ,,9256,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",rs6066825
12,12,,dbSNP:rs4946260,"rs4946260 mutation in Discoidin, CUB and LCCL domain-containing protein 1 (DCBLD1) ",presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=DCBLD1,UPKB:Q8N8Z6|GRCh38 ,,9256,"Discoidin, CUB and LCCL domain-containing protein 1",rs4946260
13,13,,dbSNP:rs16892766,rs16892766 mutation in  (NA - EIF3H) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - EIF3H,GRCh38,,9256,,rs16892766
14,14,,dbSNP:rs6983267,rs6983267 mutation in  (POU5F1B) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=POU5F1B,UPKB:Q06416|GRCh38 ,,9256,,rs6983267
15,15,,dbSNP:rs6983267,rs6983267 mutation in  ( CCAT2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= CCAT2,GRCh38,,9256,,rs6983267
16,16,,dbSNP:rs6983267,rs6983267 mutation in  ( CASC8) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= CASC8,GRCh38,,9256,,rs6983267
17,17,,dbSNP:rs6983267,rs6983267 mutation in  ( PCAT1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= PCAT1,GRCh38,,9256,,rs6983267
18,18,,dbSNP:rs3824999,rs3824999 mutation in DNA polymerase delta subunit 3 (POLD3) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=POLD3,UPKB:E9PNC0|GRCh38 ,,9256,DNA polymerase delta subunit 3,rs3824999
19,19,,dbSNP:rs3802842,rs3802842 mutation in  (COLCA2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=COLCA2,GRCh38,,9256,,rs3802842
20,20,,dbSNP:rs3802842,rs3802842 mutation in Colorectal cancer associated 1 ( COLCA1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= COLCA1,UPKB:W0FBW3|GRCh38 ,,9256,Colorectal cancer associated 1,rs3802842
21,21,,dbSNP:rs3217901,rs3217901 mutation in G1/S-specific cyclin-D2 (CCND2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CCND2,UPKB:P30279|GRCh38 ,,9256,G1/S-specific cyclin-D2,rs3217901
22,22,,dbSNP:rs4444235,rs4444235 mutation in  (LINC02331 - MIR5580) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC02331 - MIR5580,GRCh38,,9256,,rs4444235
23,23,,dbSNP:rs4779584,rs4779584 mutation in  (SCG5 - GREM1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SCG5 - GREM1,GRCh38,,9256,,rs4779584
24,24,,dbSNP:rs4939827,rs4939827 mutation in Mothers against decapentaplegic homolog 7 (SMAD7) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SMAD7,UPKB:K7EKF0|GRCh38 ,,9256,Mothers against decapentaplegic homolog 7,rs4939827
25,25,,dbSNP:rs961253,rs961253 mutation in  (NA - CASC20) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - CASC20,GRCh38,,9256,,rs961253
26,26,,dbSNP:rs6051080,rs6051080 mutation in  (FAM182A) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=FAM182A,UPKB:A2RRD0|GRCh38 ,,70271,,rs6051080
27,26,,dbSNP:rs6051080,rs6051080 mutation in  (FAM182A) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=FAM182A,UPKB:A2RRD0|GRCh38 ,,70271,,rs6051080
28,27,,dbSNP:rs11085466,rs11085466 mutation in  (ZNF429 - NA) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ZNF429 - NA,GRCh38,,70271,,rs11085466
29,27,,dbSNP:rs11085466,rs11085466 mutation in  (ZNF429 - NA) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ZNF429 - NA,GRCh38,,70271,,rs11085466
30,28,,dbSNP:rs17503919,rs17503919 mutation in  (RNGTT) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNGTT,UPKB:O60942|GRCh38 ,,70271,,rs17503919
31,28,,dbSNP:rs17503919,rs17503919 mutation in  (RNGTT) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNGTT,UPKB:O60942|GRCh38 ,,70271,,rs17503919
32,29,,dbSNP:rs76225372,rs76225372 mutation in  (NA - MALRD1) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - MALRD1,GRCh38,,70271,,rs76225372
33,29,,dbSNP:rs76225372,rs76225372 mutation in  (NA - MALRD1) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - MALRD1,GRCh38,,70271,,rs76225372
34,30,,dbSNP:rs7740797,rs7740797 mutation in SR-related and CTD-associated factor 8 (SCAF8) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SCAF8,UPKB:A0A0A0MT33|GRCh38 ,,70271,SR-related and CTD-associated factor 8,rs7740797
35,30,,dbSNP:rs7740797,rs7740797 mutation in SR-related and CTD-associated factor 8 (SCAF8) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SCAF8,UPKB:A0A0A0MT33|GRCh38 ,,70271,SR-related and CTD-associated factor 8,rs7740797
36,31,,dbSNP:rs3181245,rs3181245 mutation in Tyrosyl-DNA phosphodiesterase 2 (TDP2) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TDP2,UPKB:I3QNV0|GRCh38 ,,70271,Tyrosyl-DNA phosphodiesterase 2,rs3181245
